,Company,Industry,CEO,Company Size,Revenue
866,Optimum Source Inc.,Staffing & Subcontracting,,51 to 200,
867,Millennium Erectors Corporation,,,,
868,kinsta,Media & Communication,,,
869,Jollibee Foods Corporation,Restaurants & Food Service,Ernesto Tanmantiong,"more than 10,000",P1 billion to P5 billion
870,NICE CXone,Management & Consulting,,"501 to 1,000",
871,Deloitte,Management & Consulting,Punit Renjen,"more than 10,000",P1 billion to P5 billion
872,Xinyx Semiconductor Design Services Inc,Management & Consulting,,,
873,NovaSource Power,"Energy, Mining & Utilities",,,
874,ASCOF Construction Inc.,,,,
875,SP Solutions,Architectural & Engineering Services,,,
876,Talino Labs Pte Ltd,,,,
877,"Integrated Computer Systems, Inc.",Information Technology,,,
878,FAST PROCESSING DATA TECH INC.,,,,
879,DMCI Homes,Real Estate,,201 to 500,
880,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
881,Find Human Resources Philippines,"Airlines, Airports & Air Transportation",,,
882,Arch Global Services,,,,
883,opentext,Information Technology,Mark J. Barrenechea,"more than 10,000",P1 billion to P5 billion
884,Novare,,,,
885,"Essilor Philippines Optical Distribution, Inc.",,,,
886,"EasyPC Computing, Inc.",,,,
887,Circa Logica Group,Internet & Web Services,,,
888,MediLink Network Inc.,Information Technology,,201 to 500,
889,CommPeak,Telecommunications,,51 to 200,
890,Code Ninja IT Solutions Inc,,,,
891,Citco,Financial Services,,,
892,Citco,Financial Services,,,
893,Eastvantage,Human Resources & Staffing,,,
894,Nationwide Erectors Corporation,,,,
895,TP ICAP,,,,
896,Five9,Telecommunications,Rowan Trollope,"1001 to 5,000",P100 million to P500 million
897,NEC Telecom Software,,,,
898,Vestas,"Energy, Mining & Utilities",Henrik Andersen,"more than 10,000",more than $10B (USD)
899,Arup,Management & Consulting,Alan Belfield,"more than 10,000",P500 million to P1 billion
900,"Asiagate Networks, Inc.",,,11 to 50,
901,Open Text Corporation,Information Technology,Mark J. Barrenechea,"more than 10,000",P1 billion to P5 billion
902,Emapta,Business Consulting,Tim Vorbach,"5,001 to 10,000",
903,Multistyle Specialists Inc.,,,,
904,TP ICAP,,,,
905,Fonality/Netfortris,,,,
906,ERNI Philippines Inc,,,,
907,"Global Staff Recruitment Search, Inc",Staffing & Subcontracting,,,
908,"Woodfields Consultants, Inc",Architectural & Engineering Services,,51 to 200,
909,Outforce Inc.,,,,
910,Manulife,Financial Services,Roy Gori,"more than 10,000",P25 million to P100 million
911,Wonese Inc,,,,
912,Meralco Industrial Engineering Services Corporation (MIESCOR),,,,
913,"Masergy Communications, Inc.",2000,,"501 to 1,000",P100 million to P500 million
914,LICA Land,Property Management,,,
915,Air Beyond Satisfaction Services Inc,Construction,,,
916,"Solvento Philippines, Inc",,,,
917,Concentrix,Information Technology Support Services,Chris Caldwell,"more than 10,000",P1 billion to P5 billion
918,Global Payments,Financial Services,Jeff Sloan,"more than 10,000",P5 billion to P10 billion
919,IWG,Property Management,Mark Dixon,"more than 10,000",
920,"HSAC, LLC (HotSauce Technologies)",Telecommunications,,,
921,Glacier South Refrigeration Services Corporation,Transportation & Logistics,,,
922,"Diversey, Inc.",Manufacturing,Phil Wieland,"5,001 to 10,000",P1 billion to P5 billion
923,GHD,Retail & Wholesale,Ashley Wright,"more than 10,000",P1 billion to P5 billion
924,Intecore Corporation,,,,
925,ICI Systems Inc,Aerospace & Defense,,,
926,Chiyoda,,,201 to 500,
927,LBP Leasing and Finance Corporation,,,,
928,KJF&O Construction Inc.,,,,
929,Anchor Land Holdings Inc.,Real Estate,,201 to 500,
930,Surbana Jurong Private Limited,Financial Services,,"more than 10,000",P25 million to P100 million
931,iScale Solutions Inc,Financial Services,,,
932,ING,Financial Services,Steven van Rijswijk,"more than 10,000",P25 million to P100 million
933,ING,Financial Services,Steven van Rijswijk,"more than 10,000",P25 million to P100 million
934,Shopee,Information Technology,,"5,001 to 10,000",P5 million to P25 million
935,YFC-Boneagle INTERNATIONAL INC.,Consumer Product Manufacturing,,,
936,Fiberhome Phils Inc.,,,,
937,Arcadis,Management & Consulting,Peter Oosterveer,"more than 10,000",P1 billion to P5 billion
938,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
939,"Phil-Data Business Systems, Inc.",Staffing & Subcontracting,,"501 to 1,000",P1 billion to P5 billion
940,CommPeak,Telecommunications,,51 to 200,
941,Systemantech Inc.,,,,
942,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
943,FIRST ASIA LABOR SERVICE COOPERATIVE,Wood & Paper Manufacturing,,,
944,Meralco PowerGen Corporation,"Energy, Mining & Utilities",,,
945,Sophos,Information Technology,,"1001 to 5,000",P500 million to P1 billion
946,TSA Group,Telecommunications,,"1001 to 5,000",P25 million to P100 million
947,CWT,Retail & Wholesale,,,
948,CoDev,,,,
949,Via Appia,,,,
950,Jollibee Foods Corporation,Restaurants & Food Service,Ernesto Tanmantiong,"more than 10,000",P1 billion to P5 billion
951,Find Human Resources Philippines,"Airlines, Airports & Air Transportation",,,
952,SAV25 Data Systems,,,,
953,Lancesoft,Information Technology,,"1001 to 5,000",P100 million to P500 million
954,J-K Network Manpower Services,,,,
955,LPJ,,,,
956,Info Resume Edge,Food & Beverage Manufacturing,,,
957,Hunter's Hub Inc.,HR Consulting,,,
958,Premiumlands Corporation,"Construction, Repair & Maintenance Services",,"501 to 1,000",
959,Emapta,Business Consulting,Tim Vorbach,"5,001 to 10,000",
960,John Clements Consultants Inc.,,,,
961,Cebu Pacific,Human Resources & Staffing,,,
962,Acquire BPO,,,"5,001 to 10,000",
963,ONE MIDORI ASIA INC.,,,,
964,Broadridge,Financial Services,Tim Gokey,"more than 10,000",P5 million to P25 million
965,National Grid Corporation of the Philippines,"Energy, Mining & Utilities",,"1001 to 5,000",
966,Ayuda Business Management Solutions Inc.,,,,
967,First Circle,Financial Services,,11 to 50,
968,Alluxio,Software Development,,11 to 50,
969,SYSTRA Philippines Incorporated,,,,
970,"BOTIKANG PINOY, INC",,,,
971,Weave Solutions Inc.,,,,
972,ATOS Information Technology Inc.,Information Technology,Nourdine Bihmane ,"more than 10,000",more than $10B (USD)
973,Infineon Technologies,Manufacturing,Jochen Hanebeck,"more than 10,000",more than $10B (USD)
974,J-K Network Manpower Services,,,,
975,EVERMOUNT CONSTRUCTIONS,,,,
976,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
977,CADDS CORPORATION,,,,
978,"Insight Enterprises, Inc.",Information Technology,Joyce Mullen,"more than 10,000",P5 billion to P10 billion
979,Vestas,"Energy, Mining & Utilities",Henrik Andersen,"more than 10,000",more than $10B (USD)
980,Amadeus,Information Technology,,"more than 10,000",P1 billion to P5 billion
981,Ayuda Business Management Solutions Inc.,,,,
982,Thales,Aerospace & Defense,Patrice CAINE,"more than 10,000",more than $10B (USD)
983,DTN,Information Technology,Ron Sznaider,"501 to 1,000",P100 million to P500 million
984,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
985,Enomoto Philippine Manufacturing Inc,,,,
986,EVI Holding and Development Corporation,,,,
987,Merkle DACH,Management & Consulting,,,
988,Vestas,"Energy, Mining & Utilities",Henrik Andersen,"more than 10,000",more than $10B (USD)
989,Maxim Integrated,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
990,Merkle,Media & Communication,David Williams,"1001 to 5,000",P100 million to P500 million
991,Maine City Property Holding Corp.,Property Management,,,
992,PUREMART - TOWER 6789 CORPORATION,,,,
993,Pointer Enterprises,,,,
994,Staizen,Retail & Wholesale,,,
995,Exegy,Transportation & Logistics,,,
996,"Insight Enterprises, Inc.",Information Technology,Joyce Mullen,"more than 10,000",P5 billion to P10 billion
997,Bold Business,Business Consulting,,,
998,"JDS Construction Phils., Inc.",,,,
999,Hunter's Hub Inc.,HR Consulting,,,
1000,"Wuhan Fiberhome International Technologies Phils., Inc.",Telecommunications,,,
1001,Career Professionals Inc,Human Resources & Staffing,,less than 10,P1 million to P5 million
1002,Leisure & Resorts World Corp.,,,,
1003,DXC Technology,Information Technology,"Mike Salvino, Chairman, President & CEO","more than 10,000",P5 billion to P10 billion
1004,e-pon Digital Inc.,Financial Services,,51 to 200,
